column_name,file_count,department
@Mortgage_loans_increases,4,statcan
@Producer_industry,4,statcan
@Sex_of_property_owner,4,statcan
@Type_of_case,4,statcan
Activity,4,statcan
Asset,4,statcan
Case unit,4,statcan
Class title,4,statcan
"Income, consumption and savings",4,statcan
Indicators,4,statcan
Issue(s) identified over length of case,4,statcan
Level,4,statcan
Rates,4,statcan
Supply and disposition,4,statcan
Type of case,4,statcan
@Characteristics_of_outstanding_residential_mortgage_loans,3,statcan
@Classification_by_Broad_Economic_Categories_Rev_5__BEC5_,3,statcan
@CON_North_American_Industry_Classification_System__NAICS_,3,statcan
@Economic_indicator,3,statcan
@Financial_estimates,3,statcan
@Harmonized_System__HS__Sections,3,statcan
@Institutional_sector,3,statcan
@Mode_of_Transport,3,statcan
@Principal_trading_partner__Imports_by_country_of_export,3,statcan
@Principal_trading_partner__Imports_by_country_of_origin,3,statcan
@Residential_mortgage_loans_outstanding,3,statcan
@Trading_Partners,3,statcan
@United_States,3,statcan
Class of worker,3,statcan
Cost of living adjustment (COLA),3,statcan
Dwelling type,3,statcan
Housing Type,3,statcan
Index,3,statcan
Number of residential properties owned,3,statcan
Principal trading partners,3,statcan
Sex,3,statcan
Unit of measure,3,statcan
Weighting,3,statcan
@Change_characteristic,2,statcan
@Commodities,2,statcan
@CON_Cost_of_living_adjustment__COLA_,2,statcan
@CON_Production__sales_and_inventories_activities,2,statcan
@Elementary_school_language_and_type_of_program,2,statcan
@Family_type,2,statcan
@Free_Trade_Agreement,2,statcan
@Immigration_characteristics,2,statcan
@Immigration_status,2,statcan
@Machinery_and_equipment__domestic_and_imported,2,statcan
@Number_of_years_since_case_initiation,2,statcan
@Owner-occupied_property_type,2,statcan
@Ownership_type,2,statcan
@Residency_status,2,statcan
@Sales,2,statcan
@Season,2,statcan
@Sectors,2,statcan
@Sub-population_of_children,2,statcan
@Sub-sectors,2,statcan
@Type_of_client,2,statcan
@Type_of_event,2,statcan
Change characteristic,2,statcan
Class definition,2,statcan
Class of operation,2,statcan
Code - NOC 2021 V1.0,2,statcan
Domestic and international itinerant movements,2,statcan
Element Description English,2,statcan
Element Type Label English,2,statcan
Elementary school language and type of program,2,statcan
Employment characteristics,2,statcan
Government sectors,2,statcan
Hierarchical structure,2,statcan
Immigrant status,2,statcan
Impact,2,statcan
Industries,2,statcan
Job,2,statcan
Lender type,2,statcan
"Machinery and equipment, domestic and imported",2,statcan
National Occupational Classification (NOC),2,statcan
Net worth indicators (wealth),2,statcan
North American Product Classification System (NAPCS) Canada 2022 Version,2,statcan
Number of years since case initiation,2,statcan
Release,2,statcan
Season,2,statcan
Sex of property owner,2,statcan
Socio-demographic characteristics,2,statcan
Statement of government operations and balance sheet,2,statcan
Sub-population of children,2,statcan
Trading partner,2,statcan
Type of currency,2,statcan
Type of employee,2,statcan
Type of event,2,statcan
Type of operation,2,statcan
Type of reserve,2,statcan
Type of work,2,statcan
Variables,2,statcan
Wealth,2,statcan
Weekly wages,2,statcan
@Alternative_measures,1,statcan
@Canadian_Classification_of_Functions_of_Government__CCOFOG_,1,statcan
@Canadian_Government_Finance_Statistics__CGFS_,1,statcan
@Coal_types_and_uses,1,statcan
@Coal_volume,1,statcan
@Country_of_residence,1,statcan
@Demographic_adjustment,1,statcan
@Domains,1,statcan
@Dwelling_Occupation,1,statcan
@Effective_date,1,statcan
@Elapsed_time_and_median_days_from_case_initiation_to_first_disposition,1,statcan
@Elapsed_time_from_case_initiation_to_first_disposition,1,statcan
@Housing_estimates,1,statcan
@Industry_of_purchase,1,statcan
@Interprovincial_labour_mobility,1,statcan
@National_Occupational_Classification,1,statcan
@Number_of_private_dwellings_of_residential_property,1,statcan
@Official_language_of_daycare_and_reasons_for_attending,1,statcan
@Overtime,1,statcan
@Period_of_construction,1,statcan
@Physical_flow,1,statcan
@Preference_for_daycare_in_the_minority_official_language,1,statcan
@Product_category,1,statcan
@Production_and_disposition,1,statcan
@Resin,1,statcan
@Tenure_type,1,statcan
@Traveller_type,1,statcan
@Type_of_action,1,statcan
@Type_of_unit,1,statcan
Actual hours worked,1,statcan
Age,1,statcan
Age at time of death,1,statcan
All jobs,1,statcan
Alternative measures,1,statcan
Assets and liabilities,1,statcan
Canadian Classification of Functions of Government (CCOFOG),1,statcan
Canadian export concentration,1,statcan
Canadian Government Finance Statistics (CGFS),1,statcan
