signature,kind,file_count,num_columns,columns,example_dataset,example_source,department
0b0cff1e2acf,xml-element,16,12,@Geography | @Hours_worked | @Job | @Type_of_work | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Average usual and actual hours worked in a reference week by type of work (full- and part-time), monthly, unadjusted for seasonality",Dataset#14100042_10.xml#Series,statcan
6e07a4984171,xml-element,16,10,@Geography | @Reason_for_part-time_work | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Part-time employment by reason, monthly, unadjusted for seasonality",Dataset#14100028_12.xml#Series,statcan
68dac606f0b8,xml-element,16,11,@Geography | @Actual_hours_worked | @Job | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Actual hours worked by job type (main or all jobs), monthly, unadjusted for seasonality",Dataset#14100032_1.xml#Series,statcan
65bdb817feb7,xml-element,16,11,@Geography | @Establishment_size | @North_American_Industry_Classification_System__NAICS_ | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Employment by establishment size, monthly, unadjusted for seasonality",Dataset#14100067_5.xml#Series,statcan
7d52f2ee4453,xml-element,16,11,@Geography | @Usual_hours_worked | @Job | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Usual hours worked by job type (main or all jobs), monthly, unadjusted for seasonality",Dataset#14100030_1.xml#Series,statcan
e074822a6944,xml-element,16,10,@Geography | @Class_of_worker | @North_American_Industry_Classification_System__NAICS_ | @Gender | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Employment by class of worker, monthly, unadjusted for seasonality",Dataset#14100026_1.xml#Series,statcan
7d752bc52a88,xml-element,16,11,@Geography | @Usual_hours_worked | @Class_of_worker | @North_American_Industry_Classification_System__NAICS_ | @Gender | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Usual hours worked by industry, monthly, unadjusted for seasonality",Dataset#14100034_1.xml#Series,statcan
1875b7e5d901,xml-element,16,11,@Geography | @Actual_hours_worked | @Class_of_worker | @North_American_Industry_Classification_System__NAICS_ | @Gender | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Actual hours worked by industry, monthly, unadjusted for seasonality",Dataset#14100036_4.xml#Series,statcan
97e4dc6015be,xml-element,16,11,@Geography | @Labour_force_characteristics | @Students | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Unemployment rate, participation rate, and employment rate by type of student during school months, monthly, unadjusted for seasonality",Dataset#14100021_9.xml#Series,statcan
27bc06c41fd5,xml-element,16,11,@Geography | @Job_permanency | @North_American_Industry_Classification_System__NAICS_ | @Gender | @Age_group | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Job permanency (permanent and temporary) by industry, monthly, unadjusted for seasonality",Dataset#14100071_1.xml#Series,statcan
